,Hidden Feature-1,Hidden Feature-2,Type
521,8.774417,-18.096867,Normal
522,23.177708,-25.163546,Normal
523,13.948141,-26.494843,Normal
524,20.209938,-33.87313,Normal
525,20.912014,-47.09545,Normal
526,23.340973,-4.653911,Normal
527,21.988,-45.28001,Normal
528,25.79149,-44.197945,Normal
529,15.825693,-1.0154856,Normal
530,26.820686,-39.345955,Normal
531,28.59045,-35.585995,Normal
532,28.729485,-35.42632,Normal
533,28.894648,-31.72892,Normal
534,29.332954,-28.331484,Normal
535,26.589598,-16.303545,Normal
536,30.867191,-28.764235,Normal
537,35.74519,-34.78352,Normal
538,23.103882,-40.79189,Normal
539,22.975368,-41.064392,Normal
540,22.518883,-43.781685,Normal
541,24.773474,-42.87979,Normal
542,26.376656,-41.67758,Normal
543,26.748678,-41.17891,Normal
544,27.909075,-36.42702,Normal
545,26.607706,-35.538967,Normal
546,26.46128,-35.323975,Normal
547,26.588419,-32.777405,Normal
548,27.64095,-28.45291,Normal
549,25.868713,-27.295353,Normal
550,24.540663,-25.218386,Normal
551,24.43079,-25.245207,Normal
552,29.264427,-2.2337472,Normal
553,30.24317,-3.365358,Normal
554,30.693186,-2.967677,Normal
555,28.092075,-18.640448,Normal
556,54.09065,-28.783043,Normal
557,56.363407,-25.10685,Normal
558,54.585655,-24.821291,Normal
559,-21.127583,-34.222378,Normal
560,-21.697643,-33.82344,Normal
561,-42.09322,-35.287285,Normal
562,-39.09868,-36.27394,Normal
563,-36.96466,-37.808743,Normal
564,-36.419727,-39.325626,Normal
565,22.061462,-30.164053,Normal
566,21.033756,-36.590916,Normal
567,22.359669,-42.215775,Normal
568,37.764927,-37.370056,Normal
569,37.846756,-37.269924,Normal
570,38.00587,-36.063362,Normal
571,33.153423,-10.889077,Normal
572,33.689228,-15.298092,Normal
573,33.653004,-15.134504,Normal
574,37.05216,-11.456698,Normal
575,34.463203,-19.261719,Normal
576,34.502453,-18.763828,Normal
577,33.965485,-20.491772,Normal
578,34.264088,-20.981798,Normal
579,32.471905,-12.402793,Normal
580,20.619007,-36.633453,Normal
581,31.827854,-12.325368,Normal
582,29.48776,-19.696426,Normal
583,-23.987389,-37.9058,Normal
584,-0.442052,-44.84397,Normal
585,-31.023092,-35.070484,Normal
586,-29.64564,-34.61824,Normal
587,41.212345,1.281373,Normal
588,3.8985863,-31.450209,Normal
589,38.492,-24.562712,Normal
590,39.69699,2.098649,Normal
591,36.721825,-24.383036,Normal
592,35.555527,-10.8358135,Normal
593,37.975872,-27.99492,Normal
594,37.984848,-28.102167,Normal
595,29.645632,-19.478746,Normal
596,52.322273,-39.998833,Normal
597,27.797318,-8.533483,Normal
598,-13.433333,-44.800175,Normal
599,-16.792015,-35.645855,Normal
600,0.8244672,-17.4966,Normal
601,5.285789,-7.3875427,Normal
602,-9.231543,-12.996504,Normal
603,-19.599157,0.58555204,Normal
604,-23.098188,-6.7865424,Normal
605,13.949916,-38.05804,Normal
606,4.32859,2.3817077,Normal
607,-17.960215,-19.101744,Normal
608,-10.197815,-3.101763,Normal
609,-19.010395,-16.682816,Normal
610,-12.452379,-36.1707,Normal
611,-19.940588,-1.1846154,Normal
612,-18.685188,-12.5033865,Normal
613,-15.037284,-11.626633,Normal
614,1.1139557,-17.155611,Normal
615,2.1920102,-14.427536,Normal
616,-10.043026,-11.77586,Normal
617,14.411952,-17.891485,Normal
618,-22.779823,-7.0295997,Normal
619,-6.2926264,1.091945,Normal
620,-19.59135,-4.95226,Normal
621,-6.6409154,4.4807343,Normal
622,-7.964301,-16.967556,Normal
623,-22.324268,-11.583885,Normal
624,-20.45162,-2.4309256,Normal
625,-4.997139,-11.25029,Normal
626,-8.18934,-32.960598,Normal
627,2.9252505,0.11334454,Normal
628,-11.721844,-12.682102,Normal
629,-7.3287363,4.491916,Normal
630,7.872175,-19.02446,Normal
631,18.619522,-22.949566,Normal
632,-23.025658,-8.996919,Normal
633,-19.943802,-6.2257423,Normal
634,-20.284222,-4.2158184,Normal
635,6.3267903,-45.23237,Normal
636,-19.850586,-1.5539654,Normal
637,-21.03694,-16.130928,Normal
638,-10.9406395,-26.726221,Normal
639,-10.704998,-26.929918,Normal
640,-6.84445,-29.931576,Normal
641,-13.76457,-10.687738,Normal
642,1.2291608,-23.84165,Normal
643,-12.733729,-12.774189,Normal
644,14.895897,-20.608648,Normal
645,-8.475787,-13.334034,Normal
646,17.204567,-35.112736,Normal
647,0.9972653,-11.427164,Normal
648,6.5981436,-43.2632,Normal
649,-20.016825,-6.166533,Normal
650,-6.165496,-7.7990065,Normal
651,-5.955185,-8.822048,Normal
652,-13.53757,-3.0918808,Normal
653,-19.115906,-11.69527,Normal
654,-16.073889,-14.225051,Normal
655,-2.2593896,-25.533014,Normal
656,2.5630724,-21.46382,Normal
657,1.0445768,-14.972212,Normal
658,-10.701247,-10.495323,Normal
659,15.87564,-29.335072,Normal
660,15.09944,-33.60148,Normal
661,-14.739672,-15.965658,Normal
662,-20.472748,-6.4665627,Normal
663,6.0547056,-45.79862,Normal
664,-9.96348,-47.254253,Normal
665,-21.984337,-11.604233,Normal
666,-18.71066,-11.941691,Normal
667,-14.943527,-32.86863,Normal
668,-9.396199,-33.192818,Normal
669,-7.892726,-19.986435,Normal
670,-11.89926,-13.107788,Normal
671,6.1992426,-21.909271,Normal
672,12.309112,-17.102516,Normal
673,12.32669,-17.091845,Normal
674,-22.191357,-6.6666684,Normal
675,12.90575,-41.75677,Normal
676,-21.28192,-4.9576774,Normal
677,6.4263988,-46.680283,Normal
678,-20.483826,-16.738773,Normal
679,-20.70502,-14.812919,Normal
680,-20.275984,-10.293723,Normal
681,-18.435028,-11.42166,Normal
682,-15.646801,-12.67197,Normal
683,-14.827421,-9.768191,Normal
684,2.192416,-18.1007,Normal
685,2.506808,-14.872305,Normal
686,-8.81289,-12.800882,Normal
687,-8.160751,-13.2532835,Normal
688,15.3984375,-33.342037,Normal
689,-19.339624,-6.2546434,Normal
690,-17.466238,-18.912346,Normal
691,-18.372179,-17.98783,Normal
692,-8.545233,-46.872314,Normal
693,-14.796009,-38.307484,Normal
694,-9.213225,-35.784924,Normal
695,-18.430521,-10.94675,Normal
696,-15.205468,-12.032064,Normal
697,-6.654764,-21.155994,Normal
698,4.2241964,-18.121914,Normal
699,-12.262384,-10.5957775,Normal
700,15.618782,-35.142353,Normal
701,14.387725,-42.70547,Normal
702,10.132772,-46.038292,Normal
703,5.920614,-47.580856,Normal
704,-5.947738,-46.839836,Normal
705,-9.480985,-40.69342,Normal
706,-6.7061214,-37.28602,Normal
707,-6.264859,-35.223778,Normal
708,-5.8796163,-31.605467,Normal
709,-0.9139935,-27.620056,Normal
710,5.2018843,-22.277824,Normal
711,6.8055363,-20.42411,Normal
712,14.978396,-24.421007,Normal
713,16.720177,-25.99548,Normal
714,14.472787,-36.100555,Normal
715,14.11203,-44.14263,Normal
716,11.187493,-44.054626,Normal
717,6.6948056,-46.626965,Normal
718,-7.272298,-46.624184,Normal
719,-8.248614,-40.582333,Normal
720,-7.955661,-35.678055,Normal
721,-6.15377,-32.11918,Normal
722,-6.1568875,-33.076534,Normal
723,-0.40931052,-25.356777,Normal
724,3.3920116,-21.96377,Normal
725,6.5881996,-20.20127,Normal
726,13.613754,-23.824179,Normal
727,14.773868,-24.825743,Normal
728,20.1006,-1.6234877,Normal
729,13.70467,-43.74651,Normal
730,15.621492,-40.964127,Normal
731,13.275868,-4.2026744,Normal
732,-7.3848658,-45.53186,Normal
733,-8.647345,-38.519363,Normal
734,-7.004147,-37.485756,Normal
735,-6.5163198,-33.646996,Normal
736,-3.2425308,-28.714796,Normal
737,0.37208375,-25.073673,Normal
738,3.835968,-20.834965,Normal
739,9.361633,-19.02664,Normal
740,15.02317,-22.999594,Normal
741,17.772985,-26.922977,Normal
742,14.832836,-36.91653,Normal
743,13.262016,-43.923115,Normal
744,10.556398,-46.030403,Normal
745,6.692217,-47.492565,Normal
746,-7.531215,-47.398315,Normal
747,-8.7876625,-39.847866,Normal
748,-6.4430804,-37.571945,Normal
749,-7.1444073,-33.762257,Normal
750,-2.1052773,-29.066616,Normal
751,4.504272,-23.911083,Normal
752,5.9673867,-21.779915,Normal
753,10.880443,-23.227951,Normal
754,14.922383,-25.021116,Normal
755,16.224194,-25.3358,Normal
756,14.801897,-34.780155,Normal
757,14.122686,-44.127296,Normal
758,10.297688,-44.879047,Normal
759,8.188465,-47.557823,Normal
760,-8.435241,-46.427273,Normal
761,-7.932808,-39.86097,Normal
762,-7.638415,-36.484753,Normal
763,-6.1834965,-32.20815,Normal
764,-2.1811843,-26.631025,Normal
765,3.564535,-22.600191,Normal
766,6.2884345,-21.816177,Normal
767,13.981173,-23.33502,Normal
768,15.472795,-26.039045,Normal
769,15.889273,-31.47391,Normal
770,15.235764,-36.920227,Normal
771,12.334419,-44.274544,Normal
772,10.461396,-46.53741,Normal
773,6.2761984,-48.238544,Normal
774,-7.337375,-46.647785,Normal
775,-8.86564,-39.315056,Normal
776,-6.056608,-38.01952,Normal
777,-6.3181353,-33.786182,Normal
778,-3.0941212,-28.19526,Normal
779,3.6174877,-22.671492,Normal
780,5.9416533,-20.906591,Normal
781,14.2996435,-23.476068,Normal
782,16.392023,-27.515587,Normal
783,15.5343895,-36.72997,Normal
784,14.48511,-38.193382,Normal
785,11.934706,-45.333218,Normal
786,9.351695,-46.236244,Normal
787,5.848987,-47.37019,Normal
788,-6.7564836,-46.808876,Normal
789,-8.515671,-39.610218,Normal
790,-5.9330344,-38.161564,Normal
791,-7.141919,-32.738777,Normal
792,-2.8039865,-26.680807,Normal
793,4.529608,-23.724321,Normal
