,Hidden Feature-1,Hidden Feature-2,Type
360,-23.998919,-43.71563,Normal
361,-26.55774,-41.908234,Normal
362,-39.673157,-41.057377,Normal
363,-51.72761,9.505065,Normal
364,-51.968815,-30.535976,Normal
365,-47.364628,-26.082504,Normal
366,-39.614292,-17.066538,Normal
367,-31.210617,-16.594023,Normal
368,-30.691824,-16.474957,Normal
369,-29.472502,-15.944457,Normal
370,-23.441692,-16.519136,Normal
371,-21.363289,-20.608097,Normal
372,-10.572338,-21.129782,Normal
373,-19.78781,-39.219868,Normal
374,-22.053997,-43.434498,Normal
375,-28.231243,-43.19195,Normal
376,-39.68465,-41.176147,Normal
377,-54.621048,-20.371778,Normal
378,-48.311417,-31.202316,Normal
379,-56.28207,11.251762,Normal
380,-56.239983,14.964874,Normal
381,-35.4368,-14.390061,Normal
382,-29.550987,-17.02679,Normal
383,-30.53263,-8.46308,Normal
384,-41.813625,25.240593,Normal
385,-47.5393,1.6291544,Normal
386,-10.434241,-18.146748,Normal
387,-21.344372,-36.447563,Normal
388,-22.28354,-45.679623,Normal
389,-26.201674,-42.619244,Normal
390,-39.22147,-42.627357,Normal
391,-51.075626,-34.338375,Normal
392,-51.9528,-30.040981,Normal
393,-46.685596,20.905409,Normal
394,-56.375202,11.086491,Normal
395,-33.25629,-9.59175,Normal
396,-60.668064,13.924247,Normal
397,-31.41953,-6.1200523,Normal
398,-22.535244,-12.0321865,Normal
399,-14.287261,-15.256179,Normal
400,-19.717297,-37.798813,Normal
401,-24.000074,-41.76426,Normal
402,-26.902914,-42.60133,Normal
403,-37.398685,-42.44109,Normal
404,-47.573917,-32.30423,Normal
405,-49.476444,-31.427357,Normal
406,-49.020206,-28.584341,Normal
407,-46.198807,-24.81579,Normal
408,-41.30477,-18.976665,Normal
409,-30.519655,-12.66432,Normal
410,-40.011723,7.362396,Normal
411,-23.111841,-15.569019,Normal
412,-16.929039,-14.703237,Normal
413,-12.234883,-19.500822,Normal
414,-22.153208,-40.58219,Normal
415,-41.721554,-1.1001613,Normal
416,-28.150536,-41.98133,Normal
417,-47.047977,8.838538,Normal
418,-49.48968,-34.974266,Normal
419,-49.431755,-33.791706,Normal
420,-48.047943,-27.26854,Normal
421,-42.499485,-18.536894,Normal
422,-38.17478,-17.750538,Normal
423,-30.297287,-12.177033,Normal
424,-29.223326,-12.079039,Normal
425,-19.37102,-16.782558,Normal
426,-18.309296,-17.582544,Normal
427,-13.277601,-22.054974,Normal
428,-21.22151,-37.3821,Normal
429,-24.721771,-42.073593,Normal
430,-53.304863,1.5345207,Normal
431,-38.261898,-41.783646,Normal
432,-48.822605,-34.6355,Normal
433,-44.735855,16.51161,Normal
434,-46.021896,-26.031116,Normal
435,-48.070465,3.3165665,Normal
436,-35.062706,-10.234748,Normal
437,-31.59419,-13.636522,Normal
438,-41.48396,22.754347,Normal
439,-22.158833,-14.388401,Normal
440,-17.021778,-14.012795,Normal
441,-32.03821,-5.4979224,Normal
442,-19.892603,-36.559166,Normal
443,-52.68205,1.3209953,Normal
444,-26.305069,-44.598408,Normal
445,-36.957867,-40.284447,Normal
446,-49.404194,18.766731,Normal
447,-49.014088,-29.071411,Normal
448,-49.81749,4.641726,Normal
449,-42.201202,-17.714136,Normal
450,-32.737877,-13.859589,Normal
451,-41.014465,20.230286,Normal
452,-40.487236,10.525883,Normal
453,-20.452133,-13.933406,Normal
454,-45.422565,20.585052,Normal
455,-12.573503,-18.827305,Normal
